Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
49928.0,Daman and Diu,63916.0,13988.0,0,2021-05-18
3500969.0,Punjab,4209876.0,708907.0,0,2021-05-18
7547378.0,Madhya Pradesh,9258498.0,1711120.0,0,2021-05-18
15833342.0,Maharashtra,20090535.0,4257193.0,0,2021-05-18
316243.0,Manipur,386041.0,69798.0,0,2021-05-18
336445.0,Meghalaya,410537.0,74092.0,0,2021-05-18
240707.0,Mizoram,291676.0,50969.0,0,2021-05-18
186359.0,Nagaland,238157.0,51798.0,0,2021-05-18
184667.0,Puducherry,235311.0,50644.0,0,2021-05-18
12424774.0,Rajasthan,15414997.0,2990223.0,0,2021-05-18
87501.0,Ladakh,124756.0,37255.0,0,2021-05-18
167276.0,Sikkim,226891.0,59615.0,0,2021-05-18
5217174.0,Tamil Nadu,7146077.0,1928903.0,0,2021-05-18
4450594.0,Telangana,5514512.0,1063918.0,0,2021-05-18
995026.0,Tripura,1501857.0,506831.0,0,2021-05-18
11943521.0,Uttar Pradesh,15222409.0,3278888.0,0,2021-05-18
2011224.0,Uttarakhand,2691931.0,680707.0,0,2021-05-18
9001577.0,West Bengal,12741576.0,3739999.0,0,2021-05-18
21585.0,Lakshadweep,28414.0,6829.0,0,2021-05-18
5310767.0,Odisha,6723691.0,1412924.0,0,2021-05-18
6510885.0,Kerala,8519960.0,2009075.0,0,2021-05-18
47599.0,Dadra and Nagar Haveli,59504.0,11905.0,0,2021-05-18
9017392.0,Karnataka,11543927.0,2526535.0,0,2021-05-18
5504962.0,Andhra Pradesh,7731305.0,2226343.0,0,2021-05-18
224666.0,Arunachal Pradesh,302580.0,77914.0,0,2021-05-18
2730873.0,Assam,3472128.0,741255.0,0,2021-05-18
7412149.0,Bihar,9109364.0,1697215.0,0,2021-05-18
216622.0,Chandigarh,290561.0,73939.0,0,2021-05-18
5067226.0,Chhattisgarh,6149701.0,1082475.0,0,2021-05-18
100492.0,Andaman and Nicobar Islands,115627.0,15135.0,0,2021-05-18
3639726.0,Delhi,4717694.0,1077968.0,0,2021-05-18
11243305.0,Gujarat,15086042.0,3842737.0,0,2021-05-18
4079272.0,Haryana,5000671.0,921399.0,0,2021-05-18
1811055.0,Himachal Pradesh,2243948.0,432893.0,0,2021-05-18
2335817.0,Jammu and Kashmir,2869595.0,533778.0,0,2021-05-18
2972843.0,Jharkhand,3640776.0,667933.0,0,2021-05-18
350557.0,Goa,444923.0,94366.0,0,2021-05-18
11243305.0,Gujarat,15086042.0,3842737.0,298,2021-05-17
87501.0,Ladakh,124756.0,37255.0,857,2021-05-17
6510777.0,Kerala,8519852.0,2009075.0,66945,2021-05-17
9017346.0,Karnataka,11543880.0,2526534.0,87809,2021-05-17
2972741.0,Jharkhand,3640643.0,667902.0,53850,2021-05-17
2335697.0,Jammu and Kashmir,2869473.0,533776.0,14157,2021-05-17
1810997.0,Himachal Pradesh,2243890.0,432893.0,23109,2021-05-17
4079084.0,Haryana,5000446.0,921362.0,60829,2021-05-17
5067225.0,Chhattisgarh,6149696.0,1082471.0,6267,2021-05-17
350557.0,Goa,444923.0,94366.0,4756,2021-05-17
3639716.0,Delhi,4717683.0,1077967.0,113292,2021-05-17
47599.0,Dadra and Nagar Haveli,59504.0,11905.0,2033,2021-05-17
216622.0,Chandigarh,290561.0,73939.0,4520,2021-05-17
7411900.0,Bihar,9108969.0,1697069.0,110188,2021-05-17
2730754.0,Assam,3471991.0,741237.0,69308,2021-05-17
224664.0,Arunachal Pradesh,302578.0,77914.0,5514,2021-05-17
7547349.0,Madhya Pradesh,9258467.0,1711118.0,90237,2021-05-17
21562.0,Lakshadweep,28390.0,6828.0,83,2021-05-17
5504954.0,Andhra Pradesh,7731254.0,2226300.0,55783,2021-05-17
15833287.0,Maharashtra,20090425.0,4257138.0,99665,2021-05-17
316243.0,Manipur,386041.0,69798.0,8676,2021-05-17
49928.0,Daman and Diu,63916.0,13988.0,738,2021-05-17
9001376.0,West Bengal,12741310.0,3739934.0,60968,2021-05-17
2011224.0,Uttarakhand,2691931.0,680707.0,28459,2021-05-17
11943385.0,Uttar Pradesh,15222236.0,3278851.0,230758,2021-05-17
995017.0,Tripura,1501848.0,506831.0,9169,2021-05-17
4450594.0,Telangana,5514512.0,1063918.0,717,2021-05-17
5216811.0,Tamil Nadu,7145700.0,1928889.0,50511,2021-05-17
167276.0,Sikkim,226891.0,59615.0,734,2021-05-17
12424705.0,Rajasthan,15414928.0,2990223.0,160758,2021-05-17
3500885.0,Punjab,4209769.0,708884.0,7921,2021-05-17
184667.0,Puducherry,235311.0,50644.0,1034,2021-05-17
5310623.0,Odisha,6723547.0,1412924.0,59858,2021-05-17
186359.0,Nagaland,238157.0,51798.0,4064,2021-05-17
240707.0,Mizoram,291676.0,50969.0,1886,2021-05-17
336289.0,Meghalaya,410381.0,74092.0,6480,2021-05-17
100492.0,Andaman and Nicobar Islands,115627.0,15135.0,434,2021-05-17
2670104.0,Assam,3401496.0,731392.0,38462,2021-05-16
5487757.0,Andhra Pradesh,7664356.0,2176599.0,10110,2021-05-16
219171.0,Arunachal Pradesh,297055.0,77884.0,415,2021-05-16
100058.0,Andaman and Nicobar Islands,115188.0,15130.0,0,2021-05-16
329682.0,Meghalaya,403743.0,74061.0,2905,2021-05-16
49193.0,Daman and Diu,63175.0,13982.0,1743,2021-05-16
1982530.0,Uttarakhand,2663086.0,680556.0,17605,2021-05-16
11724458.0,Uttar Pradesh,14984918.0,3260460.0,1083,2021-05-16
985851.0,Tripura,1492618.0,506767.0,317,2021-05-16
4450013.0,Telangana,5513723.0,1063710.0,0,2021-05-16
5172965.0,Tamil Nadu,7088176.0,1915211.0,11773,2021-05-16
166562.0,Sikkim,226156.0,59594.0,362,2021-05-16
12264148.0,Rajasthan,15249948.0,2985800.0,113402,2021-05-16
3493453.0,Punjab,4200672.0,707219.0,5311,2021-05-16
183604.0,Puducherry,234107.0,50503.0,583,2021-05-16
5257596.0,Odisha,6662987.0,1405391.0,1425,2021-05-16
182306.0,Nagaland,234090.0,51784.0,255,2021-05-16
238816.0,Mizoram,289783.0,50967.0,4,2021-05-16
307585.0,Manipur,377312.0,69727.0,312,2021-05-16
15756833.0,Maharashtra,19985484.0,4228651.0,68694,2021-05-16
7473284.0,Madhya Pradesh,9164574.0,1691290.0,240,2021-05-16
21472.0,Lakshadweep,28282.0,6810.0,6,2021-05-16
86645.0,Ladakh,123897.0,37252.0,0,2021-05-16
6454137.0,Kerala,8451480.0,1997343.0,32793,2021-05-16
8942960.0,Karnataka,11448846.0,2505886.0,21443,2021-05-16
2919090.0,Jharkhand,3585174.0,666084.0,42024,2021-05-16
2321690.0,Jammu and Kashmir,2854854.0,533164.0,8284,2021-05-16
