above_60,aefi,covaxin,covishield,date,female,last30DaysAefi,male,others,today,tot_dose_1,tot_dose_2,vac_18_25,vac_18_30,vac_25_40,vac_30_45,vac_40_60,vac_45_60,today_aefi,today_dose_one,today_dose_two,today_female,today_male,today_others,total_doses
56343462,20513.0,19078163.0,164741732.0,2021-05-18,67609475.0,"[26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97, 109, 54, 49, 3, 34]",75462706.0,20317.0,0.0,143092498.0,40727466.0,,8026492,,14077725,,64616580,0.0,0.0,0.0,0.0,0.0,0.0,183819964.0
56342950,20512.0,19077536.0,164739599.0,2021-05-17,67608590.0,"[54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97, 109, 54, 49, 3]",75461311.0,20317.0,1502665.0,143090218.0,40726986.0,,8026238,,14077348,,64615446,33.0,1265721.0,236944.0,639934.0,862367.0,364.0,183817204.0
56176752,20473.0,18695475.0,163555521.0,2021-05-16,67050966.0,"[63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97, 109, 54, 49]",74693401.0,19968.0,682304.0,141764335.0,40486671.0,,7671418,,13688699,,64200432,3.0,611258.0,71046.0,286777.0,395367.0,160.0,182251006.0
56126114,20459.0,18535310.0,163009216.0,2021-05-15,66787921.0,"[58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97, 109, 54]",74324379.0,19812.0,1739312.0,141132112.0,40412424.0,,7447446,,13455142,,64076941,48.0,1136003.0,603309.0,771060.0,967892.0,360.0,181544536.0
55924598,20432.0,18087664.0,161558739.0,2021-05-14,66234957.0,"[51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97, 109]",73607113.0,19392.0,1105614.0,139861462.0,39784951.0,,7137826,,13118059,,63656217,53.0,632844.0,472770.0,482473.0,622937.0,204.0,179646413.0
55799375,20415.0,17840229.0,160521617.0,2021-05-13,65906538.0,"[50, 51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64, 97]",73161834.0,19218.0,2015945.0,139087590.0,39274256.0,,6947716,,12915397,,63401077,109.0,1031388.0,984557.0,891667.0,1123963.0,312.0,178361846.0
55549219,20352.0,17459811.0,158585766.0,2021-05-12,65354414.0,"[80, 50, 51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110, 64]",72431855.0,18976.0,1881233.0,137805245.0,38240332.0,,6689906,,12617481,,62926016,97.0,994482.0,886751.0,830263.0,1050649.0,321.0,176045577.0
55307756,20315.0,17081853.0,156780790.0,2021-05-11,64816275.0,"[44, 80, 50, 51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11, 110]",71722365.0,18705.0,2427446.0,136557345.0,37305298.0,,6441976,,12326199,,62460166,64.0,1086249.0,1341197.0,1078136.0,1348965.0,345.0,173862643.0
55038117,20288.0,16727082.0,154371836.0,2021-05-10,64225501.0,"[54, 44, 80, 50, 51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100, 11]",70948079.0,18433.0,2487415.0,135192013.0,35906905.0,,6166858,,12001119,,61966293,110.0,1071100.0,1416315.0,1101550.0,1385469.0,395.0,171098918.0
54786708,20234.0,16321015.0,151983853.0,2021-05-09,63650307.0,"[66, 54, 44, 80, 50, 51, 58, 63, 54, 26, 90, 99, 104, 90, 58, 83, 27, 115, 115, 68, 82, 108, 46, 13, 84, 63, 79, 79, 99, 100]",70186220.0,18149.0,686913.0,133854676.0,34450192.0,,5873636,,11665804,,61510977,11.0,404284.0,282629.0,293225.0,393581.0,107.0,168304868.0
